molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x747105723300>,Cc1ccc(C)c(OCc2nc3ncc(N)cc3[nH]2)c1,0.7653601753206991,2.3810534472133007,2.7359400000000003,76.82,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x7471057233e0>,COc1ccc(Cl)cc1CCOc1ccnc(N)n1,0.9095597779787951,2.178754071729646,2.3423,70.26,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723290>,Cc1nn(C)c(C)c1CNC(=O)N1CCCCCC1,0.889246722365389,2.095936026253108,2.12254,50.160000000000004,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x7471057231b0>,COC(=O)CC1CCN(C(=O)C(O)c2ccccc2Cl)CC1,0.8615871659469266,2.628899820287705,2.1750999999999996,66.84,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723220>,CS(=O)(=O)c1ccccc1N1CCOC(c2cccc(O)c2)C1,0.9339642534341063,2.696358346851774,2.3736000000000006,66.84,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723370>,CNS(=O)(=O)CC(C)(C)CNC(=O)N1CCCC(CO)C1,0.639891345304894,3.224237900142737,-0.024299999999999045,98.74000000000001,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723450>,Cc1cc(NC(=O)CN(C)c2ncnc3sc(C)c(C)c23)no1,0.7910728386870292,2.601790253743065,2.6794600000000006,84.15,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x7471057234c0>,CCN(CC(C)C#N)C(=O)COc1ccccc1C#N,0.7918658133933453,2.783717327849258,1.94526,77.12,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723530>,CC(Cc1ccccc1F)NC(=O)C1CC(=O)N(C(C)(C)C)C1,0.9265857808591175,2.996361510277982,2.5199000000000007,49.410000000000004,0.992,1.0,0.785
<rdkit.Chem.rdchem.Mol object at 0x747105723680>,Cc1ccccc1Nc1ncnc(NCc2ccccc2)c1N,0.6694959855069809,1.923836902709768,3.7229200000000002,75.86,0.992,1.0,0.785
